"Animal","Sampling","Total_REM_Duration","Mean_REM_Duration","Mean_Pwr","Total_Energy","Animal.y","Drug","DR_1","DR_3","DR_5","dRear_1","dRear_3","dRear_5","idx"
"02","1",5.16666666666667,103.333333333333,1.48103838059464e-05,4.5912189798434,"02-P10-B1","MUS",0.14,0.38,0.8,-18.7,-12.13,-20.4,"02_1"
"02","2",7.66666666666667,153.333333333333,2.69445573200859e-05,12.3944963672395,"02-P10-B1","SAL",0.8,0.71,0.68,-34.91,-29.5,-22.63,"02_2"
"03","1",0,NA,NA,0,"03-P10-R2","MUS",0.2,0.07,0.51,-10.27,-9.73,-18.96,"03_1"
"03","2",1.5,45,3.58217747202796e-05,3.22395972482514,"03-P10-R2","SAL",0.6,0.31,0.04,-40.77,-50.27,-47.17,"03_2"
"04","1",1,30,2.07020397281247e-05,1.24212238368748,"04-P10-B2","MUS",0,-0.22,0.22,17.35,-8.11,-1.5,"04_1"
"04","2",1.33333333333333,40,2.85338950043158e-05,2.28271160034524,"04-P10-B2","SAL",-0.33,-0.06,-0.18,-30.68,8.79,-12.04,"04_2"
"05","1",2.33333333333333,28,2.46682142171612e-05,3.45354999040256,"05-P10-S1","MUS",0.15,0.37,0.47,-37.36,-6.93,2.32,"05_1"
"06","1",7.5,75,1.55504580672712e-05,6.99770613027207,"06-P10-R1","MUS",0.33,0.7,0.86,-24.96,-15.58,-14.04,"06_1"
"06","2",6.33333333333333,54.2857142857143,1.85514180117513e-05,7.04953884446544,"06-P10-R1","SAL",0.71,-0.28,-0.33,-23.29,-28.79,-18.4,"06_2"
"07","1",8.83333333333333,66.25,2.51208961135654e-05,13.3140749401898,"07-P10-G1","SAL",0.69,0.52,0.55,-57.21,-46.51,-33.93,"07_1"
"07","2",2.83333333333333,42.5,2.3487035720731e-05,3.99279607252431,"07-P10-G1","MUS",-0.12,-0.43,0.09,-33.8,-28.14,-27.8,"07_2"
"08","1",5.5,110,2.57212155276563e-05,8.48800112412662,"08-P10-S2","SAL",1,0.67,0.27,-40.53,-18.21,-24.79,"08_1"
"08","2",0,NA,NA,0,"08-P10-S2","MUS",0.65,0.64,0.44,-3.03,-13.97,-15.93,"08_2"
"09","1",8.66666666666667,104,2.68887553173085e-05,13.9821527650005,"09-P10-B2","SAL",1,1,1,-27.63,-18.08,-9.49,"09_1"
"09","2",3.33333333333333,100,2.61863852554459e-05,5.23727705108918,"09-P10-B2","MUS",0.6,0.6,0.64,19.52,32.24,12.05,"09_2"
"10","1",5.16666666666667,155,2.56771792645608e-05,7.95992557201382,"10-P10-G2","SAL",0.55,0.53,-0.15,-13.23,-30,-23.1,"10_1"
"10","2",2.83333333333333,85,2.35484822842264e-05,4.00324198831849,"10-P10-G2","MUS",1,0,0.08,0.76,-16.04,-24.17,"10_2"
"11","1",5.83333333333333,87.5,1.31448346264299e-05,4.60069211925049,"11-P11-R1","SAL",0.67,0.67,0.38,-15.38,-7.78,-8.49,"11_1"
"11","2",2.5,75,1.28809845813064e-05,1.93214768719596,"11-P11-R1","MUS",0,0.33,-0.07,40.26,19.35,17.24,"11_2"
"12","1",13,156,2.46054946900182e-05,19.1922858582142,"12-P11-G2","MUS",1,-0.13,-0.26,25,-1.15,-10.64,"12_1"
"12","2",6,120,2.77016737614563e-05,9.97260255412423,"12-P11-G2","SAL",1,0.4,0.44,8.45,-22.47,-27.27,"12_2"
